date,exp_day,amount,species,salinity,treatment,room,sediment,csum,sr
20210829,5,0,RP,10,C,319,muddy,1,0.9167
20210829,5,0,RP,10,H,310,muddy,0,1
20210830,6,0,RP,10,C,319,muddy,1,0.9167
20210830,6,1,RP,10,H,310,muddy,1,0.9167
20210831,7,3,RP,10,C,319,muddy,4,0.6667
20210831,7,0,RP,10,H,310,muddy,1,0.9167
20210901,8,2,RP,10,C,319,muddy,6,0.5
20210901,8,0,RP,10,H,310,muddy,1,0.9167
20210902,9,2,RP,10,C,319,muddy,8,0.3333
20210902,9,2,RP,10,H,310,muddy,3,0.75
20210903,10,1,RP,10,C,319,muddy,9,0.25
20210903,10,1,RP,10,H,310,muddy,4,0.6667
20210904,11,0,RP,10,C,319,muddy,9,0.25
20210904,11,1,RP,10,H,310,muddy,5,0.5833
20210905,12,3,RP,10,C,319,muddy,12,0
20210905,12,0,RP,10,H,310,muddy,5,0.5833
20210906,13,0,RP,10,C,319,muddy,12,0
20210906,13,0,RP,10,H,310,muddy,5,0.5833
20210907,14,0,RP,10,C,319,muddy,12,0
20210907,14,1,RP,10,H,310,muddy,6,0.5
20210908,15,0,RP,10,C,319,muddy,12,0
20210908,15,0,RP,10,H,310,muddy,6,0.5
20210909,16,0,RP,10,C,319,muddy,12,0
20210909,16,0,RP,10,H,310,muddy,6,0.5
20210910,17,0,RP,10,C,319,muddy,12,0
20210910,17,0,RP,10,H,310,muddy,6,0.5
20210911,18,0,RP,10,C,319,muddy,12,0
20210911,18,3,RP,10,H,310,muddy,9,0.25
20210912,19,0,RP,10,C,319,muddy,12,0
20210912,19,1,RP,10,H,310,muddy,10,0.1667
20210913,20,0,RP,10,C,319,muddy,12,0
20210913,20,1,RP,10,H,310,muddy,11,0.0833
20210914,21,0,RP,10,C,319,muddy,12,0
20210914,21,1,RP,10,H,310,muddy,12,0
20210915,22,0,RP,10,C,319,muddy,12,0
20210915,22,0,RP,10,H,310,muddy,12,0
20210916,23,0,RP,10,C,319,muddy,12,0
20210916,23,0,RP,10,H,310,muddy,12,0
20210917,24,0,RP,10,C,319,muddy,12,0
20210917,24,0,RP,10,H,310,muddy,12,0
20210918,25,0,RP,10,C,319,muddy,12,0
20210918,25,0,RP,10,H,310,muddy,12,0
20210825,1,0,RP,10,C,319,sandy,0,1
20210825,1,0,RP,10,H,310,sandy,0,1
20210826,2,0,RP,10,C,319,sandy,0,1
20210826,2,0,RP,10,H,310,sandy,0,1
20210827,3,1,RP,10,C,319,sandy,1,0.9167
20210827,3,0,RP,10,H,310,sandy,0,1
20210828,4,0,RP,10,C,319,sandy,1,0.9167
20210828,4,0,RP,10,H,310,sandy,0,1
20210829,5,2,RP,10,C,319,sandy,3,0.75
20210829,5,0,RP,10,H,310,sandy,0,1
20210830,6,4,RP,10,C,319,sandy,7,0.4167
20210830,6,0,RP,10,H,310,sandy,0,1
20210831,7,1,RP,10,C,319,sandy,8,0.3333
20210831,7,2,RP,10,H,310,sandy,2,0.8333
20210901,8,1,RP,10,C,319,sandy,9,0.25
20210901,8,2,RP,10,H,310,sandy,4,0.6667
20210902,9,1,RP,10,C,319,sandy,10,0.1667
20210902,9,0,RP,10,H,310,sandy,4,0.6667
20210903,10,1,RP,10,C,319,sandy,11,0.0833
20210903,10,1,RP,10,H,310,sandy,5,0.5833
20210904,11,0,RP,10,C,319,sandy,11,0.0833
20210904,11,1,RP,10,H,310,sandy,6,0.5
20210905,12,0,RP,10,C,319,sandy,11,0.0833
20210905,12,1,RP,10,H,310,sandy,7,0.4167
20210906,13,0,RP,10,C,319,sandy,11,0.0833
20210906,13,1,RP,10,H,310,sandy,8,0.3333
20210907,14,0,RP,10,C,319,sandy,11,0.0833
20210907,14,0,RP,10,H,310,sandy,8,0.3333
20210908,15,1,RP,10,C,319,sandy,12,0
20210908,15,0,RP,10,H,310,sandy,8,0.3333
20210909,16,0,RP,10,C,319,sandy,12,0
20210909,16,1,RP,10,H,310,sandy,9,0.25
20210910,17,0,RP,10,C,319,sandy,12,0
20210910,17,2,RP,10,H,310,sandy,11,0.0833
20210911,18,0,RP,10,C,319,sandy,12,0
20210911,18,1,RP,10,H,310,sandy,12,0
20210912,19,0,RP,10,C,319,sandy,12,0
20210912,19,0,RP,10,H,310,sandy,12,0
20210913,20,0,RP,10,C,319,sandy,12,0
20210913,20,0,RP,10,H,310,sandy,12,0
20210914,21,0,RP,10,C,319,sandy,12,0
20210914,21,0,RP,10,H,310,sandy,12,0
20210915,22,0,RP,10,C,319,sandy,12,0
20210915,22,0,RP,10,H,310,sandy,12,0
20210916,23,0,RP,10,C,319,sandy,12,0
